id,user_id,organization_id,first_name,last_name,email,phone,mobile_phone,address,city,postal_code,country,notes,client_type,status,created_at,updated_at
98cf4c86-c4b2-430f-b042-71fa39f9e19c,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,Fatima,Bennani,fatima.bennani@email.com,0522111111,0661111111,15 Bd Zerktouni,Casablanca,20000,Maroc,Cliente fidèle depuis 2020,particulier,actif,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
3645ef7d-18b1-450b-847e-8ad9256e999a,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,Karim,El Mansouri,karim.elm@email.com,0537222222,0662222222,23 Av Mohammed V,Rabat,10000,Maroc,,particulier,actif,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
03815bc6-ac5d-4002-a8db-0116b46d54ab,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,Aïcha,Tazi,aicha.tazi@email.com,,0663333333,8 Rue Ibn Sina,Marrakech,40000,Maroc,Préfère les rendez-vous le matin,particulier,actif,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
66a28149-571e-4e08-9aeb-3abc4b80cb14,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,Youssef,Alami,y.alami@ferme.ma,0524444444,0664444444,Douar Ouled Saleh,Berrechid,26100,Maroc,Ferme bovine et ovine,éleveur,actif,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
af49b79b-caf8-49f7-b49d-a14d6c3d469a,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,Salma,Idrissi,salma.id@email.com,,0665555555,42 Rue de la Liberté,Tanger,90000,Maroc,,particulier,actif,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
e11efd50-30bf-480b-b8f1-1a285cd7dc92,68c1cfa1-5161-4d47-8245-51958d5e473d,632f7dff-e8d7-475f-9424-1d24d314d48f,Omar,Lahlou,omar.lahlou@demo.test,+212611344505,+212631899963,131 Rue Démo,Marrakech,,Maroc,,particulier,actif,2026-06-06 14:12:39.691511+00,2026-06-06 14:12:39.691511+00
c138b8a5-6420-4296-9904-9424f229e338,68c1cfa1-5161-4d47-8245-51958d5e473d,632f7dff-e8d7-475f-9424-1d24d314d48f,Nadia,Tazi,nadia.tazi@demo.test,+212630688378,+212653558178,4 Rue Démo,Rabat,,Maroc,,particulier,actif,2026-06-06 14:12:39.691511+00,2026-06-06 14:12:39.691511+00
e8d127b7-344b-419b-b397-92e295dccda9,68c1cfa1-5161-4d47-8245-51958d5e473d,632f7dff-e8d7-475f-9424-1d24d314d48f,Hicham,Lahlou,hicham.lahlou@demo.test,+212615789271,+212628241530,28 Rue Démo,Marrakech,,Maroc,,particulier,actif,2026-06-06 14:12:39.691511+00,2026-06-06 14:12:39.691511+00
d6ccecdd-46d8-43a8-b1c0-7135d3dbe7b7,68c1cfa1-5161-4d47-8245-51958d5e473d,632f7dff-e8d7-475f-9424-1d24d314d48f,Leila,Cherkaoui,leila.cherkaoui@demo.test,+212634513410,+212661569455,178 Rue Démo,Agadir,,Maroc,,particulier,actif,2026-06-06 14:12:39.691511+00,2026-06-06 14:12:39.691511+00
4018b275-7fb6-4277-b25c-e09198647abf,68c1cfa1-5161-4d47-8245-51958d5e473d,632f7dff-e8d7-475f-9424-1d24d314d48f,Hajar,El Amrani,hajar.elamrani@demo.test,+212612575971,+212693215276,190 Rue Démo,Marrakech,,Maroc,,particulier,actif,2026-06-06 14:12:39.691511+00,2026-06-06 14:12:39.691511+00
